side,signal_time,entry_time,exit_time,spot_entry,spot_stop,spot_exit,reason,points,risk_pts,r,structure,strike,expiry,iv,rolls,prem_in,prem_out,pnl_pts,pnl_rs,debit
SHORT,2026-08-24 11:00:00+05:30,2026-08-24 11:15:00+05:30,2026-08-24 15:15:00+05:30,24209.6,24255.0,24219.05,ST_FLIP,-9.45,45.4,-0.208,naked_put_buy,24200,2026-08-27 15:30:00+05:30,0.0986,0,77.65,71.4,-7.74,-581.0,True
SHORT,2026-08-24 11:00:00+05:30,2026-08-24 11:15:00+05:30,2026-08-24 15:15:00+05:30,24209.6,24255.0,24219.05,ST_FLIP,-9.45,45.4,-0.208,naked_call_sell,24200,2026-08-27 15:30:00+05:30,0.0986,0,-100.94,-103.42,-4.52,-339.0,False
SHORT,2026-08-24 11:00:00+05:30,2026-08-24 11:15:00+05:30,2026-08-24 15:15:00+05:30,24209.6,24255.0,24219.05,ST_FLIP,-9.45,45.4,-0.208,bear_call_spread,24200,2026-08-27 15:30:00+05:30,0.0986,0,-73.59,-75.91,-3.81,-286.0,False
SHORT,2026-08-24 11:00:00+05:30,2026-08-24 11:15:00+05:30,2026-08-24 15:15:00+05:30,24209.6,24255.0,24219.05,ST_FLIP,-9.45,45.4,-0.208,bear_put_spread,24200,2026-08-27 15:30:00+05:30,0.0986,0,59.41,55.82,-4.74,-356.0,True
SHORT,2026-08-25 09:45:00+05:30,2026-08-25 10:00:00+05:30,2026-08-25 10:45:00+05:30,24133.8,24166.1,24166.1,SL,-32.3,32.3,-1.0,naked_put_buy,24150,2026-08-27 15:30:00+05:30,0.1,0,78.64,62.72,-17.33,-1300.0,True
SHORT,2026-08-25 09:45:00+05:30,2026-08-25 10:00:00+05:30,2026-08-25 10:45:00+05:30,24133.8,24166.1,24166.1,SL,-32.3,32.3,-1.0,naked_call_sell,24150,2026-08-27 15:30:00+05:30,0.1,0,-72.02,-88.27,-17.85,-1339.0,False
SHORT,2026-08-25 09:45:00+05:30,2026-08-25 10:00:00+05:30,2026-08-25 10:45:00+05:30,24133.8,24166.1,24166.1,SL,-32.3,32.3,-1.0,bear_call_spread,24150,2026-08-27 15:30:00+05:30,0.1,0,-58.76,-70.25,-12.78,-959.0,False
SHORT,2026-08-25 09:45:00+05:30,2026-08-25 10:00:00+05:30,2026-08-25 10:45:00+05:30,24133.8,24166.1,24166.1,SL,-32.3,32.3,-1.0,bear_put_spread,24150,2026-08-27 15:30:00+05:30,0.1,0,63.81,52.41,-12.57,-943.0,True
LONG,2026-08-25 14:30:00+05:30,2026-08-25 14:45:00+05:30,2026-08-26 13:15:00+05:30,24215.6,24173.4,24265.45,ST_FLIP,49.85,42.2,1.181,naked_call_buy,24200,2026-08-27 15:30:00+05:30,0.1,0,84.89,91.81,5.15,386.0,True
LONG,2026-08-25 14:30:00+05:30,2026-08-25 14:45:00+05:30,2026-08-26 13:15:00+05:30,24215.6,24173.4,24265.45,ST_FLIP,49.85,42.2,1.181,naked_put_sell,24200,2026-08-27 15:30:00+05:30,0.1,0,-60.54,-21.65,38.07,2855.0,False
LONG,2026-08-25 14:30:00+05:30,2026-08-25 14:45:00+05:30,2026-08-26 13:15:00+05:30,24215.6,24173.4,24265.45,ST_FLIP,49.85,42.2,1.181,bull_call_spread,24200,2026-08-27 15:30:00+05:30,0.1,0,68.84,82.56,12.21,916.0,True
LONG,2026-08-25 14:30:00+05:30,2026-08-25 14:45:00+05:30,2026-08-26 13:15:00+05:30,24215.6,24173.4,24265.45,ST_FLIP,49.85,42.2,1.181,bull_put_spread,24200,2026-08-27 15:30:00+05:30,0.1,0,-51.38,-21.07,29.58,2219.0,False
